event_n,event_clusters,n_hits,energy_value
473,37,529,73.363
474,0,17845,145.311
474,38,514,74.2
475,0,18100,146.251
475,3,1,0.272
475,14,2,0.018
475,43,1,0.012
475,100,555,72.409
476,0,17941,146.091
476,30,541,73.959
476,42,3,0.029
477,0,17965,145.204
477,17,503,69.802
478,0,18076,146.424
478,92,460,71.201
479,0,17812,144.988
479,111,540,73.462
480,0,17992,145.122
480,31,5,0.132
480,75,539,74.007
481,0,18134,145.638
481,24,496,72.214
482,0,17567,141.967
482,54,547,75.109
483,0,17746,143.246
483,7,579,71.07
483,293,4,0.072
484,0,17721,142.883
484,45,513,75.656
485,0,17850,144.263
485,3,6,0.195
485,71,501,72.609
485,75,1,0.046
486,0,17860,144.249
486,14,621,73.776
487,0,17999,143.813
487,182,1,0.036
487,280,531,74.91
488,0,17972,145.886
488,75,635,73.171
488,85,6,0.496
489,0,18039,144.855
489,33,530,74.154
490,0,17933,145.451
490,20,4,0.185
490,29,1,0.036
490,86,635,71.379
490,609,2,0.069
490,610,1,0.01
491,0,18022,146.393
491,42,600,72.576
492,0,18088,146.707
492,19,514,70.54
493,0,17903,145.675
493,13,4,0.023
493,43,1,0.008
493,191,528,74.381
494,0,18288,148.186
494,33,503,74.351
494,53,3,0.061
495,0,18077,147.179
495,11,2,0.184
495,157,485,71.187
495,397,2,0.066
496,0,18154,147.716
496,3,7,0.259
496,89,537,74.241
496,123,1,0.055
497,0,17884,146.087
497,95,546,72.794
498,0,18095,146.145
498,43,564,71.475
499,0,17801,144.923
499,87,583,73.452
499,397,3,0.019
500,0,18007,146.322
500,263,516,71.38
501,0,18302,148.945
501,79,2,0.027
501,200,512,76.124
502,0,18040,146.914
502,35,527,74.075
503,0,17783,144.264
