event_n,event_clusters,n_hits,energy_value
357,50,2,0.053
357,279,645,103.599
358,0,17647,142.352
358,1,1,0.007
358,150,1,0.019
358,326,622,98.594
359,0,17802,143.084
359,487,626,98.025
359,637,1,0.014
360,0,17960,146.595
360,66,709,97.425
360,81,1,0.026
361,0,17830,143.809
361,63,617,93.264
362,0,17711,143.399
362,33,678,95.613
363,0,17771,143.307
363,7,5,0.253
363,150,615,94.096
364,0,17664,141.533
364,151,635,97.703
365,0,17910,143.979
365,32,799,99.173
365,74,4,0.102
366,0,17952,144.713
366,41,1,0.065
366,161,687,99.834
366,415,2,0.012
367,0,17498,142.427
367,34,622,94.458
367,62,4,0.078
367,275,1,0.048
368,0,17972,145.104
368,16,629,98.447
369,0,17827,143.67
369,3,5,0.041
369,177,707,94.52
370,0,17867,143.642
370,136,608,97.524
371,0,17755,143.75
371,49,753,95.845
372,0,17824,145.124
372,5,2,0.018
372,17,2,0.04
372,74,623,97.565
373,0,17702,142.675
373,5,2,0.018
373,92,684,102.963
373,123,1,0.034
374,0,17844,144.351
374,42,640,97.544
374,75,1,0.011
375,0,17713,143.761
375,35,3,0.151
375,181,641,100.919
376,0,17785,142.319
376,284,646,99.45
377,0,17689,142.361
377,30,647,100.084
378,0,17934,144.536
378,109,1,0.006
378,114,655,99.554
379,0,17682,141.989
379,141,750,101.481
380,0,17930,144.186
380,18,619,94.322
380,43,1,0.012
381,0,17733,143.24
381,98,595,98.592
382,0,17794,145.554
382,31,659,98.1
382,88,1,0.006
383,0,17811,143.114
383,16,644,96.939
384,0,17838,143.793
384,72,637,94.848
385,0,17839,144.418
385,19,2,0.072
385,175,644,99.106
385,214,1,0.024
386,0,17615,142.769
386,60,653,100.765
387,0,17624,143.24
387,15,729,97.096
387,82,1,0.028
388,0,17675,143.23
388,302,637,98.761
389,0,18192,144.929
389,69,1,0.022
389,155,763,96.963
390,0,17877,144.351
390,68,665,102.357
390,106,2,0.013
391,0,17722,143.363
391,104,1,0.04
391,118,685,97.902
392,0,17532,140.411
392,32,797,93.331
393,0,17581,141.61
393,58,657,94.797
394,0,17751,143.232
394,7,6,0.29
394,186,718,93.711
394,428,1,0.029
394,467,1,0.02
395,0,17670,143.351
395,26,1,0.017
395,83,667,97.942
396,0,17975,143.614
396,3,3,0.158
396,203,645,98.975
397,0,17809,144.016
397,448,650,100.816
398,0,18096,144.653
398,121,1,0.011
398,143,627,98.046
398,144,2,0.02
399,0,17771,142.779
399,25,633,97.622
400,0,17843,144.08
400,113,654,99.327
400,695,2,0.042
401,0,17876,145.361
401,40,642,101.199
402,0,17601,142.417
402,19,1,0.025
402,66,663,97.891
402,96,1,0.006
403,0,17922,144.901
403,32,613,98.225
404,0,17568,143.774
404,72,1,0.054
404,194,620,101.052
405,0,17696,142.043
405,17,7,0.126
405,36,617,101.566
406,0,17715,143.573
406,35,8,0.112
406,56,793,95.646
407,0,17915,144.89
407,34,686,101.859
408,0,17786,143.03
408,74,620,100.97
409,0,17894,145.678
409,38,618,97.663
410,0,17895,143.747
410,55,668,98.486
411,0,17812,143.307
411,36,626,98.023
411,67,4,0.108
412,0,17950,143.858
412,36,594,97.502
413,0,17678,141.745
413,252,615,99.056
414,0,17601,142.879
414,30,2,0.077
414,38,659,100.836
414,62,1,0.055
415,0,17959,144.137
415,16,783,97.289
415,32,1,0.053
415,44,1,0.02
416,0,17871,144.984
416,77,670,97.931
416,108,4,0.106
416,177,1,0.089
417,0,17751,144.047
417,21,3,0.019
417,57,2,0.013
417,152,669,96.015
418,0,17594,142.344
418,23,3,0.021
418,266,660,100.578
419,0,17773,143.374
419,113,662,97.093
420,0,17784,144.217
420,77,650,97.945
421,0,17702,143.32
421,175,1,0.017
421,185,1,0.006
421,200,1,0.021
421,357,1,0.006
421,374,703,96.242
422,0,17846,143.81
422,60,674,99.936
422,67,3,0.06
423,0,17972,143.53
423,27,621,96.13
424,0,17664,141.874
424,45,630,96.241
425,0,17753,144.808
425,26,4,0.079
425,73,1,0.007
425,293,693,94.876
426,0,17919,145.213
426,31,2,0.011
426,42,639,97.437
427,0,17817,143.401
427,34,657,95.385
428,0,17802,142.593
428,145,2,0.046
428,154,744,98.67
429,0,17721,142.227
429,51,2,0.012
429,147,671,99.374
430,0,17670,142.216
430,111,631,102.187
431,0,17881,143.477
431,30,634,97.149
431,90,2,0.032
431,115,2,0.03
432,0,17848,142.844
432,87,612,97.856
433,0,18032,144.729
433,7,4,0.043
433,170,2,0.024
433,210,2,0.013
433,311,539,98.075
434,0,17972,145.072
434,37,1,0.094
434,145,626,98.924
435,0,17818,143.927
435,66,621,97.484
436,0,17877,143.483
436,35,638,97.315
437,0,17883,144.009
437,49,643,98.34
438,0,17738,143.51
438,37,638,100.371
438,71,2,0.018
439,0,17696,143.031
439,30,9,0.19
439,52,693,96.106
440,0,17636,141.788
440,46,1,0.12
440,242,642,97.223
441,0,17616,144.075
441,100,640,99.439
442,0,17765,145.059
442,185,639,94.253
443,0,17659,141.372
443,17,1,0.006
443,157,620,93.405
444,0,17819,142.44
444,211,752,94.477
445,0,17659,143.421
445,50,608,94.34
446,0,17748,142.624
446,115,667,97.662
446,360,1,0.037
447,0,17736,142.334
447,18,8,0.067
447,59,1,0.006
447,247,642,96.448
447,441,2,0.013
448,0,17484,141.024
448,441,718,98.773
449,0,17825,144.491
449,37,631,101.024
449,47,1,0.022
450,0,17758,142.692
450,68,2,4.274
450,72,649,99.614
451,0,17616,143.288
451,78,589,98.052
452,0,17988,145.367
452,87,610,96.878
453,0,17999,145.143
453,23,2,0.064
453,105,658,96.249
454,0,17984,146.029
454,36,637,94.907
455,0,17805,143.452
455,114,654,98.944
456,0,17783,142.99
456,43,1,0.073
456,51,603,98.37
457,0,17683,142.385
457,35,609,99.735
457,37,1,0.006
458,0,17867,145.483
458,257,626,97.993
459,0,17774,145.125
459,23,1,0.048
459,269,614,102.899
460,0,17739,143.634
460,161,756,99.247
461,0,17840,144.159
461,1,2,0.02
461,72,625,98.929
462,0,17712,143.862
462,8,5,0.046
462,68,673,99.317
463,0,17781,142.667
463,16,758,92.45
464,0,17867,143.942
464,38,647,91.548
465,0,17693,143.537
465,50,680,97.068
466,0,17904,143.605
466,89,651,97.069
467,0,17927,144.854
467,29,1,0.017
467,173,614,98.58
468,0,17826,142.754
468,56,635,98.961
469,0,17678,142.668
469,26,611,100.379
469,113,1,0.006
470,0,17853,145.38
470,19,4,0.106
470,58,814,102.163
471,0,17976,145.065
471,134,603,102.029
471,611,1,0.026
472,0,17794,144.726
472,99,603,101.348
473,0,17862,144.34
473,18,3,0.138
473,108,769,101.947
474,0,17507,141.746
474,18,4,0.082
474,46,619,96.578
475,0,18159,146.65
